index,GAME_ID,TEAM_ID,OPPONENT_TEAM_ID,EFG_PCT,EFG_PCT_OPP,PACE,PACE_OPP,AST_TOV,AST_TOV_OPP,DEF_RATING,DEF_RATING_OPP,OFF_RATING,OFF_RATING_OPP
4840,0022300100,1610612758,1610612747,0.722,0.458,114.0,114.0,4.0,3.0,96.6,146.4,146.4,96.6
4825,0022300101,1610612751,1610612766,0.724,0.396,112.0,112.0,4.5,3.5,82.1,150.0,150.0,82.1
4824,0022300101,1610612766,1610612751,0.396,0.724,112.0,112.0,3.5,4.5,150.0,82.1,82.1,150.0
4823,0022300102,1610612741,1610612754,0.568,0.609,96.0,96.0,1.5,3.0,125.0,112.5,112.5,125.0
4822,0022300102,1610612754,1610612741,0.609,0.568,96.0,96.0,3.0,1.5,112.5,125.0,125.0,112.5
4835,0022300103,1610612738,1610612764,0.714,0.472,108.0,108.0,3.67,0.83,70.4,155.6,155.6,70.4
4834,0022300103,1610612764,1610612738,0.472,0.714,108.0,108.0,0.83,3.67,155.6,70.4,70.4,155.6
4827,0022300104,1610612737,1610612750,0.708,0.909,92.0,92.0,8.0,10.0,182.6,152.2,152.2,182.6
4826,0022300104,1610612750,1610612737,0.909,0.708,92.0,92.0,10.0,8.0,152.2,182.6,182.6,152.2
4836,0022300105,1610612761,1610612757,0.5,0.525,96.0,96.0,2.0,0.43,87.5,104.2,104.2,87.5
4837,0022300105,1610612757,1610612761,0.525,0.5,96.0,96.0,0.43,2.0,104.2,87.5,87.5,104.2
4828,0022300106,1610612763,1610612742,0.708,0.583,106.0,106.0,1.75,2.0,115.4,133.3,133.3,115.4
4829,0022300106,1610612742,1610612763,0.583,0.708,106.0,106.0,2.0,1.75,133.3,115.4,115.4,133.3
4833,0022300107,1610612748,1610612749,0.476,0.548,108.0,108.0,3.0,2.67,103.7,103.7,103.7,103.7
4832,0022300107,1610612749,1610612748,0.548,0.476,108.0,108.0,2.67,3.0,103.7,103.7,103.7,103.7
4819,0022300108,1610612744,1610612740,0.658,0.565,96.0,96.0,1.75,3.5,112.5,120.8,120.8,112.5
4818,0022300108,1610612740,1610612744,0.565,0.658,96.0,96.0,3.5,1.75,120.8,112.5,112.5,120.8
4821,0022300109,1610612765,1610612760,0.375,0.563,100.0,100.0,0.83,3.0,132.0,84.0,84.0,132.0
4820,0022300109,1610612760,1610612765,0.563,0.375,100.0,100.0,3.0,0.83,84.0,132.0,132.0,84.0
4831,0022300110,1610612743,1610612762,0.659,0.409,102.0,102.0,2.67,2.0,80.8,124.0,124.0,80.8
